PLAYER;WIN;SP;2PA;2P%;3PA;3P%;FTA;FT%;ORB;DRB;AST;STL;BLK;TOV;PF;PTS;+/-;;;;;;
DONCIC;1;2054;14;0,714;11;0,273;7;0,571;1;12;10;2;0;4;1;33;4;;;;;;
DONCIC;1;2162;11;0,636;14;0,643;10;0,800;1;9;7;0;0;0;1;49;9;;;;;;
DONCIC;1;2400;10;0,500;12;0,500;10;0,700;0;12;12;1;1;6;4;35;6;;;;;;
DONCIC;1;2403;8;0,500;8;0,125;9;0,778;0;7;10;2;1;6;2;18;11;;;;;;
DONCIC;0;2296;13;0,385;11;0,545;7;0,857;3;7;8;0;1;9;2;34;-4;;;;;;
DONCIC;1;2185;10;0,700;9;0,111;7;0,857;1;11;9;0;1;4;3;23;3;;;;;;
DONCIC;1;2109;7;0,571;10;0,500;6;1,000;0;3;6;2;0;6;2;29;7;;;;;;
DONCIC;0;2304;16;0,563;10;0,200;10;0,700;0;7;8;4;1;4;3;31;-7;;;;;;
DONCIC;1;1901;12;0,917;9;0,667;4;1,000;0;6;6;1;0;1;1;44;32;;;;;;
DONCIC;1;1679;9;0,778;9;0,444;5;0,800;0;4;9;1;0;2;0;30;14;;;;;;
DONCIC;0;1575;11;0,182;5;0,600;5;0,600;1;1;2;0;0;8;0;16;-26;;;;;;
DONCIC;1;1945;7;0,429;11;0,364;12;0,667;1;6;10;0;0;3;2;26;12;;;;;;
DONCIC;0;2119;17;0,647;9;0,444;4;0,250;1;8;9;0;0;3;1;35;-17;;;;;;
DONCIC;0;1907;12;0,333;7;0,429;10;0,800;1;9;7;3;0;2;0;25;-14;;;;;;
DONCIC;1;2325;14;0,500;12;0,250;8;0,875;0;12;8;2;0;0;2;30;-11;;;;;;
DONCIC;0;2285;19;0,579;8;0,125;5;1,000;0;3;4;2;2;4;4;30;-14;;;;;;
DONCIC;1;2276;19;0,632;10;0,300;9;0,889;0;9;9;2;0;0;3;41;12;;;;;;
DONCIC;0;2759;9;0,667;13;0,385;14;0,643;2;13;18;2;2;7;2;36;-7;;;;;;
DONCIC;1;1917;13;0,615;12;0,500;8;0,750;2;8;11;1;0;4;2;40;34;;;;;;
DONCIC;1;2469;14;0,571;14;0,214;8;0,875;0;6;10;1;1;5;1;32;13;;;;;;
DONCIC;1;2633;11;0,364;10;0,500;13;0,923;0;8;6;2;2;3;3;35;3;;;;;;
DONCIC;1;2600;18;0,500;10;0,300;6;1,000;0;6;17;1;0;4;0;33;10;;;;;;
DONCIC;0;2359;20;0,650;7;0,286;7;1,000;1;5;13;2;0;8;2;39;-12;;;;;;
DONCIC;1;2241;16;0,688;12;0,333;6;1,000;2;10;10;1;0;4;3;40;-4;;;;;;
DONCIC;0;2182;12;0,583;12;0,500;10;0,600;3;8;8;0;0;3;1;38;-29;;;;;;
DONCIC;0;2662;14;0,500;11;0,182;14;0,571;1;8;10;1;0;5;1;28;-4;;;;;;
DONCIC;1;1897;17;0,471;10;0,500;11;0,727;2;10;10;1;1;2;1;39;37;;;;;;
